ID,date,AgeYears,Sex,Hand,vision
382c27adf2b3d54c92935aeab9,25-Jul-2019 18:54:45,58,Male,Right,NormalCorrected
8fc5579e3dae9073b70090f61d,25-Jul-2019 19:11:40,57,Male,Right,NormalCorrected
12cb2930f1f85b91daf5dd9158,25-Jul-2019 19:17:19,36,Female,Right,NormalCorrected
7acc21d8044dc6189c4e5b660b,25-Jul-2019 20:46:46,36,Male,Right,NormalCorrected
8ca821a82dd8cb12744cd87a3a,25-Jul-2019 20:58:47,67,Female,Right,NormalCorrected
0d33a47950135c84f166a83cb2,26-Jul-2019 12:41:42,54,Female,Right,NormalCorrected
6f3496d1ff0c9e5c75b85243f3,26-Jul-2019 12:42:02,33,Male,Right,NormalCorrected
b267850ee7d43bd9dee6f48630,26-Jul-2019 12:44:33,38,Female,Right,NormalCorrected
949bfc48a52afb8a43be2dfa5b,26-Jul-2019 12:45:28,54,Female,Left,NormalCorrected
890c09650188745b7db0ebaa7d,26-Jul-2019 12:47:38,64,Female,Right,NormalCorrected
1862a34012fc5f9e00eb9231e8,26-Jul-2019 12:50:32,39,Female,Right,NormalCorrected
50ba2384ca3474035122271020,26-Jul-2019 12:51:36,37,Female,Right,NormalCorrected
6aaa2ae52d45c03472da71d5a2,26-Jul-2019 12:55:53,34,Female,Right,NormalCorrected
6dc34178c07bf07861a296ba5d,26-Jul-2019 13:21:22,35,Female,Left,NormalCorrected
1d1bada43dcf78eecf4375e62e,26-Jul-2019 13:35:56,30,Male,Right,NormalCorrected
978e1021a66e06c5d31f7ca17d,26-Jul-2019 13:47:40,37,Female,Left,NormalCorrected
c2529fbe2793bd20415dca21eb,26-Jul-2019 13:59:47,30,Female,Right,NormalCorrected
d3fb6d5813cad5f5bd686a5f7f,26-Jul-2019 14:05:28,41,Female,Right,NormalCorrected
1fd635b71057ae3feb67bf636b,26-Jul-2019 14:33:37,64,Female,Right,NormalCorrected
fd0c503bc09e235e7c7431fe45,26-Jul-2019 14:50:11,38,Female,Left,NormalCorrected
40618b7187caed90d5b8fa87ee,26-Jul-2019 15:23:02,47,Male,Right,NormalCorrected
063ad4117feb47e7b3f458ae7d,26-Jul-2019 15:23:52,42,Female,Right,NormalCorrected
080f2a025645607050ba3ab667,26-Jul-2019 15:27:10,69,Female,Right,NormalCorrected
a70b13236df36cba907ee10c24,26-Jul-2019 15:33:04,57,Female,Right,NormalCorrected
74abcccb583e20440dfcfd54f7,26-Jul-2019 15:56:52,40,Female,Right,NormalCorrected
2479d6af0c76ed4e65607bb55b,26-Jul-2019 16:48:54,29,Female,Right,NormalCorrected
47c511495fcbf2c1368fc2f38e,26-Jul-2019 17:40:28,29,Male,Right,NormalCorrected
9418da80816d24ea83d8593930,26-Jul-2019 17:46:16,38,Female,Right,NormalCorrected
e18a90b0f6382958b033f3e77f,29-Jul-2019 22:47:49,43,Male,Right,NormalCorrected
6b9863033a611e394282337672,29-Jul-2019 23:00:57,39,Female,Right,NormalCorrected
cb5a7c0b1f4acac3bd6e2e85b7,30-Jul-2019 04:11:43,34,Male,Right,NormalCorrected
378a007628ca43d2a6d8ba7d3e,30-Jul-2019 13:03:15,38,Female,Right,NormalCorrected
33aa0dfcc942b539a16385e5a1,30-Jul-2019 21:42:05,28,Male,Right,NormalCorrected
98414bdadebc6ca33c6ced88d2,31-Jul-2019 01:11:21,37,Female,Right,NormalCorrected
54730f967176827c078b613ada,31-Jul-2019 18:13:41,38,Female,Right,NormalCorrected
db7ac191669d7692ee2b9fd015,01-Aug-2019 14:48:15,38,Female,Right,NormalCorrected
5634f9536e0db91f8e45a6c16d,06-Aug-2019 10:04:45,30,Male,Right,NormalCorrected
cc97af71a5efdb906fa479e21d,06-Aug-2019 10:05:51,38,Male,Right,NormalCorrected
3c9d5956f61b5ffad47452846f,06-Aug-2019 10:16:21,45,Female,Right,NormalCorrected
324b259613a52db19f5631b84b,06-Aug-2019 13:24:07,44,Female,Right,NormalCorrected
68e9b0ff71fc1fbf966a58dee1,06-Aug-2019 16:45:09,57,Female,Right,NormalCorrected
878185fe46c6898dd49c7b2a73,06-Aug-2019 18:49:29,31,Female,Right,NormalCorrected
d3e9223e54f1f54d231081a384,06-Aug-2019 19:21:14,46,Female,Right,NormalCorrected
5b96206c3b316d6c3b057bd708,06-Aug-2019 21:32:17,30,Male,Right,NormalCorrected
2cd7712fe02ee0aa26b760d3cd,07-Aug-2019 07:15:19,39,Male,Right,NormalCorrected
f2079d1d7e78e8246d2bcc1aeb,07-Aug-2019 11:55:12,35,Female,Right,NormalCorrected
7618db1e01ae09f8c83cd22755,07-Aug-2019 21:39:27,58,Male,Left,NormalCorrected
8b9a43306195d6091fe483e3ae,07-Aug-2019 23:03:53,25,Male,Right,NormalCorrected
cdeaffb4f7821d61e7a5fd2974,09-Aug-2019 23:32:51,29,Male,Right,NormalCorrected
6aa6296ecdf4df75559c0572d4,09-Aug-2019 23:58:21,37,Male,Right,NormalCorrected
71cc097f1ede002eaf99af7b0f,10-Aug-2019 00:08:50,24,Female,Right,NormalCorrected
f7c0efeaef25b271c80af4a8ea,10-Aug-2019 00:09:07,32,Male,Left,NormalCorrected
d4bf3aa71dd6960de9cea27190,10-Aug-2019 00:16:07,29,Female,Right,NormalCorrected
7bf01717a1785fdd91f82ed9e3,10-Aug-2019 00:22:49,44,Male,Right,NormalCorrected
64ea81aa216f3d5e62ce1f80af,10-Aug-2019 02:04:26,46,Male,Right,NormalCorrected
4ed0da51197f328e38e284c082,10-Aug-2019 02:16:51,46,Male,Right,NormalCorrected
1e27569c5dccc81744d001f051,10-Aug-2019 02:34:37,66,Female,Right,NormalCorrected
c64a5435ad376b4a8ce3e7d77f,10-Aug-2019 02:40:20,34,Male,Right,NormalCorrected
1658ed2e894e006d49f725ad6f,10-Aug-2019 02:45:26,43,Female,Left,NormalCorrected
885060b35c54d36722f9c3198d,10-Aug-2019 03:47:23,55,Female,Right,NormalCorrected
3b675a8db98f4533791cd3dabe,10-Aug-2019 04:15:22,41,Female,Right,NormalCorrected
0eea83eef6e7e21ba9a3092a9d,10-Aug-2019 04:26:31,56,Female,Right,NormalCorrected
5b06f8143a5c9d297d64da5efa,10-Aug-2019 04:27:14,30,Male,Right,NormalCorrected
656ceb444a44b3edd902137173,19-Aug-2019 20:09:07,39,Male,Right,NormalCorrected
7afd39707db16bdcaaac2e0e4d,19-Aug-2019 20:09:59,55,Male,Right,NormalCorrected
3ccbd890a8757c751bef075826,19-Aug-2019 20:17:04,36,Female,Right,NormalCorrected
1f39fa4c901b126870323b003d,19-Aug-2019 20:42:21,36,Male,Left,NormalCorrected
a3bd2194f03cc0f0783847a32d,19-Aug-2019 20:43:31,37,Female,Right,NormalCorrected
30826ee95780ce100679e0391a,19-Aug-2019 21:03:17,31,Male,Right,NormalCorrected
19cdb46df9134d5ba4192e2c9c,19-Aug-2019 21:18:04,32,Male,Right,NormalCorrected
18d2c4a7e6582e02ee4b26d94d,19-Aug-2019 21:30:30,33,Male,Right,NormalCorrected
e2a8f4b7b373c46ca1a4f59d70,19-Aug-2019 22:03:12,34,Male,Right,NormalCorrected
6240f6f5ca4370364e233f707e,19-Aug-2019 22:05:30,32,Female,Right,NormalCorrected
c50ffcac3bebf25bd0a966cbb8,19-Aug-2019 22:16:51,61,Female,Right,NormalCorrected
a8df087f1f54f4d575438c8561,19-Aug-2019 22:31:40,46,Male,Right,NormalCorrected
a5c596e2e0eb48fac79adf507e,19-Aug-2019 22:35:53,39,Female,Right,NormalCorrected
7b75f23a236442d44785dcc8c8,19-Aug-2019 23:10:13,31,Male,Right,NormalCorrected
05fb1d1f12a54ed2232e95d453,19-Aug-2019 23:27:42,26,Female,Right,NormalCorrected
2ee452dc5caefdc6d3a465c283,19-Aug-2019 23:34:58,58,Male,Right,NormalCorrected
d2ed11c840c4b70cf73446f201,20-Aug-2019 00:08:55,28,Female,Right,NormalCorrected
5c8013244f660a9cca2b2aed91,20-Aug-2019 00:40:56,56,Female,Right,NormalCorrected
1668811545bfad8e954f0edf95,20-Aug-2019 00:41:51,60,Female,Right,NormalCorrected
8b9b2ad222421a2a21559d0bf1,20-Aug-2019 01:03:49,45,Female,Right,NormalCorrected
ed07ff111c2fba78986e8125b4,20-Aug-2019 01:18:06,29,Female,Right,NormalCorrected
878b546dd0d17baffc568ddec5,20-Aug-2019 01:27:52,37,Female,Right,NormalCorrected
3172bee9ec00f683e9a0f0162a,20-Aug-2019 01:49:38,41,Male,Right,NormalCorrected
7c222ab8bcd3fe4ba491f05f3b,20-Aug-2019 01:56:12,34,Female,Right,NormalCorrected
420a8f9dc56b7d37dd59197f2b,20-Aug-2019 01:59:58,47,Female,Right,NormalCorrected
bdfb6764b223b4caf7a3437303,20-Aug-2019 02:08:09,38,Female,Right,NormalCorrected
67b05cb4b0d73e5273524f461e,20-Aug-2019 03:05:48,22,Female,Right,NormalCorrected
814c7211473a369422bfa17e38,20-Aug-2019 03:16:08,27,Male,Right,NormalCorrected
21f0d85a3b29879a17369a1ddf,20-Aug-2019 03:23:59,28,Male,Right,NormalCorrected
f372116b4b0102b70f8a9a3505,20-Aug-2019 04:21:34,39,Male,Right,NormalCorrected
12aee48c0c7bbc22cd2b56f302,20-Aug-2019 04:33:44,50,Female,Right,NormalCorrected
c9818114a12ef6e1c39a48a41e,20-Aug-2019 05:08:40,26,Male,Right,NormalCorrected
80dc243dfef4b85eb45655d2cc,20-Aug-2019 10:38:28,46,Female,Right,NormalCorrected
02d10aa2ee456550830fd62e02,21-Aug-2019 11:45:37,41,Male,Right,NormalCorrected
51de0b62e74bae376fbe6a7d45,21-Aug-2019 11:45:38,38,Male,Right,NormalCorrected
789152148587fd49d519f4328e,21-Aug-2019 11:45:39,41,Male,Right,NormalCorrected
3fe19122e0ac425827b1b850de,21-Aug-2019 11:47:33,30,Female,Right,NormalCorrected
45c463fc7cf5cc02089a340871,21-Aug-2019 11:51:45,48,Female,Right,NormalCorrected
9a89b2755fb9982dba8dda9bd7,21-Aug-2019 11:52:56,65,Male,Right,NormalCorrected
313c6a0a263fcdd57a5837a695,21-Aug-2019 11:58:36,34,Female,Right,NormalCorrected
ff689787b2da69490f22f052f1,21-Aug-2019 12:08:53,36,Male,Right,NormalCorrected
544c3dcbc96bf4b594bbcdb1b2,21-Aug-2019 12:19:30,47,Female,Right,NormalCorrected
a383d6c37ee8a8fee5bb7948cb,21-Aug-2019 12:20:03,43,Male,Right,NormalCorrected
7d89f35574ab6207cd37666c91,21-Aug-2019 12:30:44,39,Female,Right,NormalCorrected
b0b1a6811419275c46284d036f,21-Aug-2019 12:32:59,40,Male,Right,NormalCorrected
09a8e677404fe1908a1880b2f4,21-Aug-2019 12:35:49,32,Female,Right,NormalCorrected
25c73bdd21c8ea042e734ec81d,21-Aug-2019 12:53:15,32,Female,Right,NormalCorrected
383920ef9af45869d788ee09ac,21-Aug-2019 13:21:03,37,Male,Left,NormalCorrected
7c4f27fc93fe4e5bad519677f3,21-Aug-2019 13:37:38,39,Female,Right,NormalCorrected
63ce5b9bdc7ed880beeed4744e,21-Aug-2019 13:47:04,40,Male,Right,NormalCorrected
13bd32856c2fa9ebecb0a6a023,21-Aug-2019 15:01:15,42,Male,Right,NormalCorrected
4ab71e6e3f3bf9f9c8a2903cab,21-Aug-2019 15:01:24,25,Female,Right,NormalCorrected
5116832445ea7a3825d844050a,21-Aug-2019 15:09:01,30,Male,Left,NormalCorrected
18d97294ee22345852115c7e7c,21-Aug-2019 15:15:42,34,Female,Right,NormalCorrected
9be9f33901557537055d06f214,21-Aug-2019 15:46:19,39,Female,Right,NormalCorrected
239125741efcfd6af1385e1b16,21-Aug-2019 15:51:49,32,Female,Left,NormalCorrected
3655f2f40f8aa2dc1217b3e486,21-Aug-2019 16:05:52,35,Female,Right,NormalCorrected
753480c230cb10eb5caecadaa6,21-Aug-2019 16:08:10,58,Female,Right,NormalCorrected
41293b70bfb6fa793908e9542c,21-Aug-2019 16:26:52,56,Female,Right,NormalCorrected
94892618350a0dad64a4153403,21-Aug-2019 18:33:54,40,Male,Right,NormalCorrected
df51ba08c291771c1784577992,21-Aug-2019 19:43:58,28,Female,Right,NormalCorrected
ba0183598a7afee47b288fff0b,21-Aug-2019 20:07:59,46,Female,Right,NormalCorrected
5ce7824ba10256e36258c4d765,21-Aug-2019 20:56:10,42,Female,Right,NormalCorrected
0349843571f5184e8feb7995bc,27-Oct-2019 11:18:30,36,Male,Right,NormalCorrected
04bf771a158527a584696693ee,27-Oct-2019 11:24:01,45,Male,Right,NormalCorrected
c8241fb5551c59a2ccc8024676,27-Oct-2019 11:30:05,47,Female,Right,NormalCorrected
a780140aae52124384af578003,27-Oct-2019 11:40:46,40,Male,Left,NormalCorrected
bcc12a124e2fda26d8247368ef,27-Oct-2019 11:59:37,55,Female,Left,NormalCorrected
3707663e543822b1143b7f7366,27-Oct-2019 12:09:35,41,Female,Right,NormalCorrected
e68c11c31e8e312d0ad5b87921,27-Oct-2019 12:39:24,35,Female,Right,NormalCorrected
ad286e444c9dd880d2c46b45a8,27-Oct-2019 13:06:09,28,Male,Right,NormalCorrected
6664325acb7fd0749675007f1e,27-Oct-2019 13:11:37,53,Male,Right,NormalCorrected
e8a203bb30dd199d1da177a72c,27-Oct-2019 14:12:54,49,Male,Right,NormalCorrected
7e8d8938cbdd4769db30e002d7,27-Oct-2019 15:57:41,48,Male,Right,NormalCorrected
c5ab3e10b83c42fc99f167911a,27-Oct-2019 16:05:26,32,Male,Right,NormalCorrected
1e0bedfd7427aa3189a4de3c0c,27-Oct-2019 16:21:13,29,Male,Right,NormalCorrected
bd73373ea26145b1659a476abc,27-Oct-2019 16:32:33,69,Female,Right,NormalCorrected
ad3ecbabd73a7e1303df80ded0,27-Oct-2019 16:49:13,29,Male,Right,NormalCorrected
fac5f32f1acb880e7a16b5e9ad,27-Oct-2019 18:04:37,24,Female,Right,NormalCorrected
47e318f3e1fc694fb0af8efffb,27-Oct-2019 18:08:02,60,Female,Right,NormalCorrected
fa69259f5e54dd1c7c06ada882,27-Oct-2019 18:17:48,59,Female,Right,NormalCorrected
923cc29be54d7cd4ce7556dd5a,27-Oct-2019 18:34:04,43,Female,Right,NormalCorrected
3f8ec61536b41cbab72d3b1178,27-Oct-2019 18:40:39,29,Male,Right,NormalCorrected
c588feecbd6de108c81be0fac8,27-Oct-2019 19:17:00,39,Female,Right,NormalCorrected
7f6655cceaaca16c9df3bef2c5,27-Oct-2019 19:50:33,31,Male,Right,NormalCorrected
ab7f995e415b349284668a31fe,27-Oct-2019 20:50:43,69,Female,Right,NormalCorrected
959eccb9184b81bd9f7feb85b8,27-Oct-2019 21:05:45,30,Female,Right,NormalCorrected
96e4085d35f2368ed29eea95b2,27-Oct-2019 22:49:42,46,Female,Right,NormalCorrected
21fc1d85a3e4264449ef7f15a9,27-Oct-2019 23:45:28,38,Male,Right,NormalCorrected
6d2bad20069b95f45e4cf734f8,28-Oct-2019 02:34:08,35,Male,Right,NormalCorrected
8396a1f1c342c3e5dbb58a8133,28-Oct-2019 03:08:22,37,Male,Right,NormalCorrected
e3a314b90577729404891a56bd,28-Oct-2019 04:03:44,33,Male,Right,NormalCorrected
9c1accd9f9ae08747e7ae41257,19-Dec-2019 17:27:19,27,Male,Right,NormalCorrected
2076262700981aeb117c0457e9,19-Dec-2019 19:48:34,26,Female,Right,NormalCorrected
63dc7e59b6494366a309109de7,19-Dec-2019 23:59:53,46,Female,Right,NormalCorrected
